playerDeck,opponentDeck,ID 1,ID 2,Filter,Rank,playerDeck,opponentDeck,muWin,muGames,muWR
Ahri/Kennen (IO/SH),Jarvan IV/Shen,Ahri/Kennen (IO/SH)Jarvan IV/Shen (DE/IO),Jarvan IV/Shen (DE/IO)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Jarvan IV/Shen (DE/IO),25,30,0.83
Ahri/Kennen (IO/SH),Jayce/Lux,Ahri/Kennen (IO/SH)Jayce/Lux (DE/PZ),Jayce/Lux (DE/PZ)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Jayce/Lux (DE/PZ),68,94,0.72
Ahri/Kennen (IO/SH),Jinx (FR/PZ),Ahri/Kennen (IO/SH)Jinx (FR/PZ),Jinx (FR/PZ)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Jinx (FR/PZ),39,63,0.62
Ahri/Kennen (IO/SH),Jinx/Lulu (BC/PZ),Ahri/Kennen (IO/SH)Jinx/Lulu (BC/PZ),Jinx/Lulu (BC/PZ)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Jinx/Lulu (BC/PZ),15,38,0.39
Ahri/Kennen (IO/SH),Karma/Kindred,Ahri/Kennen (IO/SH)Karma/Kindred (IO/SI),Karma/Kindred (IO/SI)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Karma/Kindred (IO/SI),30,56,0.54
Ahri/Kennen (IO/SH),Karma/Senna,Ahri/Kennen (IO/SH)Karma/Senna (IO/SI),Karma/Senna (IO/SI)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Karma/Senna (IO/SI),23,52,0.44
Ahri/Kennen (IO/SH),Kindred/Lux,Ahri/Kennen (IO/SH)Kindred/Lux (SI/DE),Kindred/Lux (SI/DE)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Kindred/Lux (SI/DE),21,32,0.66
Ahri/Kennen (IO/SH),Kindred/Nasus,Ahri/Kennen (IO/SH)Kindred/Nasus (SI/SH),Kindred/Nasus (SI/SH)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Kindred/Nasus (SI/SH),65,100,0.65
Ahri/Kennen (IO/SH),Kindred/Viego (IO/SI),Ahri/Kennen (IO/SH)Kindred/Viego (IO/SI),Kindred/Viego (IO/SI)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Kindred/Viego (IO/SI),310,402,0.77
Ahri/Kennen (IO/SH),Lee Sin/Zoe,Ahri/Kennen (IO/SH)Lee Sin/Zoe (MT/IO),Lee Sin/Zoe (MT/IO)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Lee Sin/Zoe (MT/IO),71,89,0.80
Ahri/Kennen (IO/SH),Lissandra/Taliyah,Ahri/Kennen (IO/SH)Lissandra/Taliyah (FR/SH),Lissandra/Taliyah (FR/SH)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Lissandra/Taliyah (FR/SH),147,265,0.55
Ahri/Kennen (IO/SH),Lissandra/Trundle (FR/SI),Ahri/Kennen (IO/SH)Lissandra/Trundle (FR/SI),Lissandra/Trundle (FR/SI)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Lissandra/Trundle (FR/SI),35,86,0.41
Ahri/Kennen (IO/SH),Lulu/Poppy (DE/IO),Ahri/Kennen (IO/SH)Lulu/Poppy (DE/IO),Lulu/Poppy (DE/IO)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Lulu/Poppy (DE/IO),64,137,0.47
Ahri/Kennen (IO/SH),Lulu/Zed (DE/IO),Ahri/Kennen (IO/SH)Lulu/Zed (DE/IO),Lulu/Zed (DE/IO)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Lulu/Zed (DE/IO),28,53,0.53
Ahri/Kennen (IO/SH),Malphite/Taliyah,Ahri/Kennen (IO/SH)Malphite/Taliyah (SH/MT),Malphite/Taliyah (SH/MT)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Malphite/Taliyah (SH/MT),33,38,0.87
Ahri/Kennen (IO/SH),Maokai/Nautilus,Ahri/Kennen (IO/SH)Maokai/Nautilus (SI/BW),Maokai/Nautilus (SI/BW)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Maokai/Nautilus (SI/BW),111,149,0.74
Ahri/Kennen (IO/SH),Miss Fortune/Poppy (BW/DE),Ahri/Kennen (IO/SH)Miss Fortune/Poppy (BW/DE),Miss Fortune/Poppy (BW/DE)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Miss Fortune/Poppy (BW/DE),46,84,0.55
Ahri/Kennen (IO/SH),Miss Fortune/Quinn,Ahri/Kennen (IO/SH)Miss Fortune/Quinn (BW/DE),Miss Fortune/Quinn (BW/DE)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Miss Fortune/Quinn (BW/DE),399,900,0.44
Ahri/Kennen (IO/SH),Nami/Twisted Fate (BC/BW),Ahri/Kennen (IO/SH)Nami/Twisted Fate (BC/BW),Nami/Twisted Fate (BC/BW)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Nami/Twisted Fate (BC/BW),16,30,0.53
Ahri/Kennen (IO/SH),Nami/Twisted Fate (BW/PZ),Ahri/Kennen (IO/SH)Nami/Twisted Fate (BW/PZ),Nami/Twisted Fate (BW/PZ)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Nami/Twisted Fate (BW/PZ),60,120,0.50
Ahri/Kennen (IO/SH),Pantheon (DE/MT),Ahri/Kennen (IO/SH)Pantheon (DE/MT),Pantheon (DE/MT)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Pantheon (DE/MT),147,212,0.69
Ahri/Kennen (IO/SH),Pantheon/Shyvana,Ahri/Kennen (IO/SH)Pantheon/Shyvana (DE/MT),Pantheon/Shyvana (DE/MT)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Pantheon/Shyvana (DE/MT),286,421,0.68
Ahri/Kennen (IO/SH),Pantheon/Taric (DE/MT),Ahri/Kennen (IO/SH)Pantheon/Taric (DE/MT),Pantheon/Taric (DE/MT)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Pantheon/Taric (DE/MT),192,291,0.66
Ahri/Kennen (IO/SH),Pyke/Rek'Sai,Ahri/Kennen (IO/SH)Pyke/Rek'Sai (SH/BW),Pyke/Rek'Sai (SH/BW)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Pyke/Rek'Sai (SH/BW),556,829,0.67
Ahri/Kennen (IO/SH),Renekton/Sivir (FR/SH),Ahri/Kennen (IO/SH)Renekton/Sivir (FR/SH),Renekton/Sivir (FR/SH)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Renekton/Sivir (FR/SH),26,37,0.70
Ahri/Kennen (IO/SH),Senna/Veigar,Ahri/Kennen (IO/SH)Senna/Veigar (SI/BC),Senna/Veigar (SI/BC)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Senna/Veigar (SI/BC),597,1152,0.52
Ahri/Kennen (IO/SH),SunDisc,Ahri/Kennen (IO/SH)Azir/Xerath (SH),Azir/Xerath (SH)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Azir/Xerath (SH),277,323,0.86
